zone_id,co2_colors,lux_colors,spl_colors,pmv_colors
8,"H,N,H,L,N,N,N,N,M,H,N,N,H,L,N,N,N,H,H,N,H,H,N,H,L,N,H,H,N,N,H,N,H,H,N,H,N,N,N,H,H,L,N,N,N,H,H,N,N,N,N,N,N,N,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,N,H,H,N,H,N,N,H,H,N,H,N,N,N,H,H,N,N,N,N","H,H,H,H,H,H,H,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,N,N,L,M,M,H,H,H,M,M,N,N,L,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N","H,M,H,H,H,H,H,M,H,H,N,H,H,L,H,H,N,H,H,N,H,H,N,H,H,M,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,N,H,H,M,H,H,H,H,H,H,H,H,H,H,H,M,H,H,N,H,H,N,H,H,N,H,H,H,H,H,L,H,H,M,H,H,H,N","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,N,N,N,H,H,H"
26,"N,N,N,N,N,N,N,N,N,N,N,M,H,H,H,M,N,N,H,N,N,N,N,N,H,H,N,H,H,H,L,L,N,N,N,N,N,H,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,H,H,H,H,H,H,N,H,L,M,H,M,N,H,M,H,H,L,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H","N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,N,N,N,N,N,L,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N","H,H,L,H,H,N,H,N,H,H,N,H,N,N,H,N,H,N,N,N,H,N,N,N,N,N,H,H,N,N,N,N,N,H,H,H,H,H,N,N,N,N,N,N,N,H,N,N,H,N,N,N,N,N,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,M,N,N,N,N,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N"
27,"N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","N,M,N,N,M,N,L,N,N,N,N,N,N,N,N,N,N,L,L,L,N,N,H,L,M,M,N,L,N,N,N,N,N,N,N,N,N,N,N,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,L,N,L,N,L,H,N,N,N,N,N,N,N","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","N,N,N,N,N,N,N,N,N,N,H,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N"
30,"N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,N,N","H,H,L,L,M,H,H,N,M,M,N,L,N,L,L,N,N,L,H,N,N,M,H,L,M,L,N,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,H,N,N,N,L,N,N,M,N,N,N,N,H,H,H,H,H,H,H,H,H,M,H,H,H,N,N,N,N,M,M,L,L,H,N,N,H,H,H,H,L,H,H,H,H,H,H,H","H,N,H,H,M,H,H,L,H,H,H,H,H,H,H,H,H,H,M,H,H,H,H,H,H,H,L,H,H,N,H,H,H,N,H,H,H,H,N,H,H,H,H,N,H,H,H,H,H,N,H,H,H,M,N,N,L,N,N,N,N,H,H,H,H,H,M,N,H,M,L,H,H,M,H,M,H,H,H,H,H,H,H,H,H,H,N,H,H,M,H,H,H,H,H,H,H,H,H,H","H,N,N,N,N,N,N,H,N,N,H,H,N,H,N,N,N,N,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,H,N,N,N,N,N,H,H,H,H,H,L,N,N,N,N,L,N,N,N,N,N,N,N,N,L"
31,"N,N,M,H,N,N,N,M,H,N,N,H,N,N,N,L,N,H,H,N,N,N,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,N,N,N,N,N,L,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,H,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","N,N,H,H,N,N,L,L,H,L,M,H,L,L,H,M,N,M,H,L,M,N,H,M,M,H,H,H,H,N,N,H,H,H,L,H,L,H,N,N,N,H,H,N,L,H,N,N,N,N,H,H,N,L,M,H,L,N,N,M,M,H,M,H,M,H,N,N,N,N,H,H,M,H,H,H,M,N,M,M,L,H,H,H,N,H,N,H,H,H,H,H,H,H,H,N,N,H,M,H","H,H,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,H,N,N,N"
46,"N,L,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,N,H,H,H,H,H,H,H,H,N,N,H,H,H,N,N,H,H,H,H,H,H,H,H,H,H,M,H,H,H,H,N,N,H,H,H,H,M,M,H,H,N,H,H,H,H,N,H,H,N,N,H,N,H,H,N,H,H,N,H,H,L,M,H,H,H,H,M,H,N,N,L,H,N,N,N,N","H,H,H,H,H,H,H,H,H,H,H,N,N,N,N,N,N,N,N,N,N,N,N,H,H,H,H,H,H,H,H,H,N,N,H,H,H,N,N,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,N,L,H,H,N","N,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,N,N,H,H,H,N,N,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,L,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,L,N,H,H","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N"
47,"H,N,N,N,N,N,N,N,L,N,N,L,N,N,H,H,N,N,N,M,N,N,N,N,N,L,N,L,L,N,N,H,N,N,N,N,H,N,N,N,L,N,N,N,N,H,N,N,N,N,N,N,H,N,M,N,N,M,N,N,H,N,N,N,N,M,N,N,N,N,N,N,N,H,H,N,N,N,H,H,N,N,N,N,N,N,N,N,N,N,N,N,N,M,N,H,H,N,M,H","N,N,N,N,N,N,N,N,N,N,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,N,N,N,M,H,H,N,M,N,H,M,M,M,L,N,H,L,H,N,L,M,H,M,H,H,N,L,N,N,N,N,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H","H,N,M,H,N,M,L,N,H,H,N,H,H,H,H,H,H,H,N,H,H,H,H,H,N,H,M,H,H,L,H,H,N,N,H,H,H,N,N,H,H,N,H,H,N,H,H,H,H,H,H,H,H,H,H,M,H,H,H,H,H,H,H,H,H,H,L,H,H,N,H,H,L,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,N,H,H","N,M,N,N,N,N,N,N,N,N,H,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,N,H,N,N,N,N,N,N,N,N,N,N,H,N,N,N,N,N,N,N,N,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,H,H,N,H,H"
48,"N,L,N,H,H,M,H,H,H,H,H,H,H,H,H,H,H,H,H,H,M,H,H,L,H,L,H,H,H,H,H,H,H,H,H,N,H,N,N,N,N,N,N,H,H,M,N,N,N,N,N,H,H,M,L,H,N,N,N,N,H,N,H,M,N,L,L,N,H,H,H,H,H,H,H,H,H,N,N,M,N,N,N,N,N,H,H,N,N,N,N,N,N,L,H,N,N,N,N,N","H,H,H,H,H,H,H,H,M,H,H,H,H,H,L,H,H,H,H,H,M,H,M,H,H,H,H,H,L,H,H,H,H,L,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,N,H,H,H,H,H,H,H,H,H,H,H,H,H,H,N,H,H,H,H,H,H,H,H,M,H,H,H,H,H,H,H,H,H,H,H,H,H,H","H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,L,H,H,H,H,H,H,H,H,H,H,H,H,H,H,N,N,H,L,H,H,H,H,H,H,H,N,H,H,H,H,H,H,N,H,H,H,H,H,H,H,L,H,H,H,H,H,H,H,H,H,H,H,H,L,H,H,H,H,H,H,M,H,H,H,H,H,H,N,H,H,H,H,N,N,M,H","N,N,N,H,N,N,N,H,H,H,N,H,N,H,N,N,N,H,N,H,N,N,N,N,N,N,N,N,N,N,N,H,N,N,N,N,N,N,N,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,N,L,N,H,H,M,N,H,H,N,L,N,H,N,N,L,L,N,H,H,H,N"
49,"N,N,N,N,N,N,N,N,M,L,N,N,N,N,N,N,M,N,N,N,H,N,H,H,N,H,H,H,N,H,H,H,H,H,M,N,H,N,N,N,L,N,N,N,N,N,L,N,N,H,H,N,N,H,M,N,L,N,N,N,N,L,N,N,N,N,N,N,N,N,N,L,N,N,L,N,H,N,N,H,H,H,H,N,N,N,H,H,N,N,N,N,N,M,H,N,N,N,N,N","N,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,L,N,L,L,N,L,N,L,L,N,N,N,N,N,N,N,N,L,L,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,M,H,M,M,H,L,N,H,L,N,N,N,N,N,N,M,N,N,L,N,N,H,H,H,H,H","H,H,H,H,H,H,H,L,H,H,H,H,H,H,N,H,H,H,N,H,H,M,H,H,H,H,H,H,N,H,H,H,H,H,H,N,H,H,H,H,H,N,H,H,H,H,H,H,M,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,L,H,H,L,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,L,H,H,H,H,N,N,N,N","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,N,N,N,N,H,M,M,H,N,N,H,N,N,H,H,H,N,H,H,H,N,M,H,N,H,H,H,H,H,H,L,H,H,H,L,H,N,H,N,H,H,H,N,H,H,H,H,H,L,H,N,N,H,N,H,H,N,H,H,H,L"
50,"H,N,N,N,N,N,L,N,N,N,N,H,N,N,M,N,N,N,N,N,N,L,H,H,N,N,N,H,H,N,N,N,N,H,H,L,H,N,N,N,N,N,N,N,H,H,H,N,N,N,N,N,N,N,N,H,N,N,L,N,N,N,N,N,N,N,N,N,H,N,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,N,N,H,N,N,N,N,H,N,N,N","H,N,L,M,L,N,N,L,N,N,N,N,N,N,L,N,M,L,H,L,L,N,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,N,N,N,N,N,N,N,H,H,H,H,H,H,H,H,H,H,H,H,H,H,M,H,H,H,H,H,H,H,H,H,H,H,H,M,M,M,M,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H","H,N,H,N,M,N,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,M,H,H,H,M,N,H,H,H,H,H,H,H,H,L,N,N,N,N,N,H,H,H,H,H,H,H,H,H,H,H,H,H,M,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,N,H","L,N,N,N,N,N,N,H,H,N,H,N,N,N,N,N,N,N,M,N,N,N,N,N,N,N,N,N,N,N,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,N,L,L,N,N,N,N,N,H,H,H,H,H,N,M,N,N,N,N,N,N,N,L,N,N,N,M,N,L,N,H,H,N,N,H,N,N,N,N,N,N,H,H"
